Code zone (M49);Zone;Code Élément;Élément;Produit;Année;Unité;Valeur;Symbole;Description du Symbole
140;République centrafricaine;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;6006;I;Valeur imputée
410;République de Corée;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;766800;X;Ciffre de sources internationales
498;République de Moldova;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;44439;A;Chiffre officiel
180;République démocratique du Congo;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;10314;A;Chiffre officiel
418;République démocratique populaire lao;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;28442;I;Valeur imputée
214;République dominicaine;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;338637;A;Chiffre officiel
408;République populaire démocratique de Corée;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;29945;I;Valeur imputée
834;République-Unie de Tanzanie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;63597;A;Chiffre officiel
642;Roumanie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;436040;A;Chiffre officiel
826;Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1660000;A;Chiffre officiel
646;Rwanda;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;18216;I;Valeur imputée
662;Sainte-Lucie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1394;I;Valeur imputée
659;Saint-Kitts-et-Nevis;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;13;A;Chiffre officiel
670;Saint-Vincent-et-les Grenadines;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;455;E;Valeur estimée
882;Samoa;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;399;I;Valeur imputée
678;Sao Tomé-et-Principe;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;728;A;Chiffre officiel
686;Sénégal;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;95054;A;Chiffre officiel
688;Serbie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;85018;A;Chiffre officiel
690;Seychelles;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;633;I;Valeur imputée
694;Sierra Leone;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;15300;E;Valeur estimée
702;Singapour;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;74750;I;Valeur imputée
703;Slovaquie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;69656;A;Chiffre officiel
705;Slovénie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;63383;A;Chiffre officiel
706;Somalie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;3874;I;Valeur imputée
729;Soudan;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;68000;A;Chiffre officiel
728;Soudan du Sud;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;20104;I;Valeur imputée
144;Sri Lanka;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;192000;E;Valeur estimée
752;Suède;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;152500;A;Chiffre officiel
756;Suisse;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;90103;A;Chiffre officiel
740;Suriname;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;9129;A;Chiffre officiel
762;Tadjikistan;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;6829;A;Chiffre officiel
148;Tchad;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;6172;I;Valeur imputée
203;Tchéquie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;151981;A;Chiffre officiel
764;Thaïlande;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1659116;I;Valeur imputée
626;Timor-Leste;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;908;I;Valeur imputée
768;Togo;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;18432;A;Chiffre officiel
772;Tokélaou;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;5;I;Valeur imputée
776;Tonga;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;283;I;Valeur imputée
